UNE,SUBMARCA,MERCADO,CATEGORIA,TOTALPRICE
ACCESORIOS,CLOE,M1,moda,7561.766952000003
ACCESORIOS,CLOE,M2,moda,1850.0974979999994
BILLETERA,CLOE,M1,basico,69.531
BILLETERA,CLOE,M1,moda,10873.125999999997
BILLETERA,CLOE,M2,moda,5360.463957999993
BILLETERA,CLOEAGATHARUIZDELAPRADA,M1,moda,790.77
BILLETERA,CLOEAGATHARUIZDELAPRADA,M2,moda,2404.9230000000002
BILLETERA,CLOEGIRLS,M2,moda,0.1024
BILLETERA,CLOELEATHER,M1,moda,148.656
BILLETERA,CLOELEATHER,M2,moda,436.341
BILLETERA,CLOEUOMO,M1,moda,157.68
BOLSO,CLOE,M1,moda,28954.14899999999
BOLSO,CLOE,M2,moda,36016.40252899997
BOLSO,CLOEAGATHARUIZDELAPRADA,M2,moda,5565.924
BOLSO,CLOEGIRLS,M1,moda,704.19
BOLSO,CLOEGIRLS,M2,moda,598.6020000000002
BOLSO,CLOELEATHER,M2,moda,766.6139999999999
BOLSO,CLOEMOM&BABY,M1,moda,608.814
BOLSO,CLOEMOM&BABY,M2,moda,542.6250000000001
BOLSO,LUCENTZZA,M2,moda,0.946
CALZADO,CLOE,M1,moda,12723.965999999991
CALZADO,CLOE,M2,moda,22288.404999999922
CALZADO,CLOEAGATHARUIZDELAPRADA,M1,moda,1044.765
CALZADO,CLOEAGATHARUIZDELAPRADA,M2,moda,202.56300000000002
CHARM,CLOE,M2,moda,0.9
CINTURON,CLOE,M2,moda,2.667
COSMETIQUERA,CLOE,M1,moda,1361.5710000000004
COSMETIQUERA,CLOE,M2,moda,799.636
COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,M1,moda,775.2839999999999
COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,M2,moda,135.067
EQUIPAJE,CLOE,M1,basico,110.62900000000002
EQUIPAJE,CLOE,M1,moda,9079.893000000004
EQUIPAJE,CLOE,M2,basico,76.52
EQUIPAJE,CLOE,M2,moda,8696.383000000005
EQUIPAJE,CLOEAGATHARUIZDELAPRADA,M2,moda,360.839
EQUIPAJE,CLOELEATHER,M2,moda,34.551
EQUIPAJE,CLOEUOMO,M1,moda,8032.284000000001
EQUIPAJE,CLOEUOMO,M2,moda,90.88699999999999
ESCOLARES,CLOEGIRLS,M2,moda,567.4470000000002
ESCOLARES,CLOESPORT,M2,moda,2442.7470000000008
M.PRIMAEINSUMOS,CLOE,M1,moda,0.119230257
MASCADA,CLOE,M1,moda,65.334
MASCADA,CLOE,M2,moda,0.645
PROMOCIONAL,CLOE,M1,moda,0.67128
PROMOCIONAL,CLOE,M2,moda,0.00054
